parameter;definition;unity;lima_perc;lima_hit;chachapoyas_perc;chachapoyas_hit;tacna_perc;tacna_hit;arequipa_perc;arequipa_hit;juliaca_perc;juliaca_hit;
Cu;initial investment by kWp;USD/kWp;1489;1572;1754;1837;1718;1801;1736;1819;1754;1837;
Hopt;global irradiation in optimum inclined plane (measured);Kwh/m2year;1522;1522;1515;1515;2154;2154;2099;2099;2314;2314;
P;peak power;kWp;1.675;1.65;1.675;1.65;1.675;1.65;1.675;1.65;1.675;1.65;
PR;performance ratio;%;80;83;83;87;67;84;70;84;82;86;
rd;annual degredation rate;%;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;
El;annual household electricity consumption;kWh/year;0;0;0;0;0;0;0;0;0;0;
N;life cycle;years;25;25;25;25;25;25;25;25;25;25;
SCI;self consumption index;%;100;100;100;100;100;100;100;100;100;100;
COM;anual operation and maintenance cost;% of PVi;1.011316216;1.090434038;0.817078482;0.880713205;0.912877874;0.99179102;0.856469351;0.925856045;0.758035839;0.812809927;
d;discount rate;%;3;3;3;3;3;3;3;3;3;3;
pg;price at which electricity is sold to the grid;USD/kWh;0;0;0;0;0;0;0;0;0;0;
ps;price at which electricity is self consumed;USD/kWh;0.20132334;0.20132334;0.26134758;0.26134758;0.22741668;0.22741668;0.2407023;0.2407023;0.2927934;0.2927934;
rpg;annual escalation rate of pg;%;1.97;1.97;1.97;1.97;1.97;1.97;1.97;1.97;1.97;1.97;
rps;annual escalation rate of ps;%;1.97;1.97;1.97;1.97;1.97;1.97;1.97;1.97;1.97;1.97;
rom;annual escalation rate of opex;%;1.97;1.97;1.97;1.97;1.97;1.97;1.97;1.97;1.97;1.97;
T;income tax rate;%;0;0;0;0;0;0;0;0;0;0;
Nd;period of amortization of the investment for tax purposes;years;0;0;0;0;0;0;0;0;0;0;
Xd;total depreciation allowance;% of PVi;0;0;0;0;0;0;0;0;0;0;
Xl;part of PVi financed with loan;% of PVi;0;0;0;0;0;0;0;0;0;0;
Xec;part of PVi financed with equity capital;% of PVi;100;100;100;100;100;100;100;100;100;100;
Xis;part of PVi financed with subsidy or grant;% of PVi;0;0;0;0;0;0;0;0;0;0;
il;annual loan interest;%;0;0;0;0;0;0;0;0;0;0;
Nis;amortization of investment subsidy;years;0;0;0;0;0;0;0;0;0;0;
Nl;amortization of loan;years;0;0;0;0;0;0;0;0;0;0;
dec;annual dividend of the equity capital or return on equity;%;0;0;0;0;0;0;0;0;0;0;
